kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti,COS,Rado. Č.,STAN,Zelený,ROZUMNÍ,SSO,BPI,ODA,EU referendum,TOP 09,DB 2016,SPR,Křesťaní,ČSNS,REALIST,SPORT,DSSS,SPO
579513,Malé Svatoňovice,1401,956,946,93,"3,06",69,"1,58",3,64,29,1,"0,10","7,29",1,"0,10",37,"3,91","6,76",15,11,"1,16",13,0,"1,37",1,"0,10","0,31"
579530,Maršov u Úpice,146,94,93,12,"0,00",4,"0,00",0,10,0,0,"0,00","4,30",0,"0,00",0,"0,00","10,75",0,2,"2,15",0,0,"0,00",0,"0,00","0,00"
579548,Mladé Buky,1839,1072,1066,125,"0,18",72,"0,65",2,80,2,1,"0,09","6,75",0,"0,00",72,"6,75","7,50",7,11,"1,03",20,0,"1,87",1,"0,09","0,18"
579556,Mostek,1007,631,625,44,"0,00",29,"1,28",0,76,0,0,"0,00","4,64",1,"0,16",26,"4,16","12,16",8,10,"1,60",8,0,"1,28",0,"0,00","0,00"
579564,Nemojov,564,365,359,34,"0,27",12,"1,94",0,18,1,3,"0,83","3,34",2,"0,55",12,"3,34","5,01",7,2,"0,55",10,0,"2,78",0,"0,00","0,00"
579581,Pec pod Sněžkou,706,540,530,183,"0,00",12,"1,69",0,13,0,0,"0,00","2,26",0,"0,00",29,"5,47","2,45",9,3,"0,56",6,0,"1,13",1,"0,18","0,00"
579599,Pilníkov,975,571,571,51,"0,00",31,"1,57",1,51,0,1,"0,17","5,42",1,"0,17",22,"3,85","8,93",9,5,"0,87",8,0,"1,40",2,"0,35","0,17"
579602,Prosečné,456,294,290,33,"0,00",15,"0,00",0,36,0,0,"0,00","5,17",0,"0,00",20,"6,89","12,41",0,7,"2,41",0,0,"0,00",0,"0,00","0,00"
579629,Radvanice,779,398,396,35,"0,00",24,"0,75",0,57,0,0,"0,00","6,06",0,"0,00",13,"3,28","14,39",3,7,"1,76",2,0,"0,50",1,"0,25","0,00"
579637,Rtyně v Podkrkonoší,2472,1606,1588,156,"0,25",130,"1,19",4,97,4,2,"0,12","8,18",2,"0,12",79,"4,97","6,10",19,19,"1,19",31,0,"1,95",3,"0,18","0,25"
579645,Rudník,1716,979,968,92,"0,10",52,"1,03",1,84,1,0,"0,00","5,37",1,"0,10",97,"10,02","8,67",10,12,"1,23",10,0,"1,03",2,"0,20","0,10"
548812,Stanovice,49,32,32,7,"0,00",1,"0,00",0,2,0,0,"0,00","3,12",0,"0,00",8,"25,00","6,25",0,1,"3,12",0,0,"0,00",0,"0,00","0,00"
579661,Staré Buky,453,319,315,56,"0,00",24,"0,63",0,26,0,0,"0,00","7,61",0,"0,00",5,"1,58","8,25",2,1,"0,31",6,0,"1,90",0,"0,00","0,00"
579696,Strážné,214,170,170,57,"0,58",7,"1,76",0,1,1,0,"0,00","4,11",0,"0,00",5,"2,94","0,58",3,0,"0,00",5,0,"2,94",0,"0,00","0,00"
579726,Suchovršice,286,203,203,28,"0,00",15,"0,49",0,16,0,0,"0,00","7,38",1,"0,49",7,"3,44","7,88",1,0,"0,00",4,0,"1,97",0,"0,00","0,00"
579734,Svoboda nad Úpou,1647,1029,1017,142,"0,39",71,"0,78",0,79,4,0,"0,00","6,98",0,"0,00",18,"1,76","7,76",8,17,"1,67",18,0,"1,76",8,"0,78","0,00"
579742,Špindlerův Mlýn,1179,901,890,206,"0,00",35,"2,02",3,27,0,0,"0,00","3,93",0,"0,00",75,"8,42","3,03",18,5,"0,56",12,0,"1,34",1,"0,11","0,33"
579751,Trotina,68,44,43,3,"0,00",7,"0,00",0,3,0,0,"0,00","16,27",0,"0,00",4,"9,30","6,97",0,0,"0,00",0,0,"0,00",0,"0,00","0,00"
579025,Trutnov,24640,14946,14828,2676,"0,11",859,"1,42",13,1032,17,7,"0,04","5,79",11,"0,07",376,"2,53","6,95",212,89,"0,60",262,0,"1,76",7,"0,04","0,08"
579769,Třebihošť,348,229,225,34,"0,00",13,"2,22",1,21,0,0,"0,00","5,77",0,"0,00",7,"3,11","9,33",5,4,"1,77",6,0,"2,66",1,"0,44","0,44"
579777,Úpice,4527,2530,2508,263,"0,11",153,"0,95",3,218,3,3,"0,11","6,10",3,"0,11",74,"2,95","8,69",24,26,"1,03",15,0,"0,59",1,"0,03","0,11"
579785,Velké Svatoňovice,1018,649,646,65,"0,15",39,"0,61",0,43,1,2,"0,30","6,03",2,"0,30",23,"3,56","6,65",4,6,"0,92",15,0,"2,32",1,"0,15","0,00"
579793,Velký Vřešťov,189,121,121,8,"0,00",10,"1,65",0,5,0,0,"0,00","8,26",0,"0,00",9,"7,43","4,13",2,1,"0,82",5,0,"4,13",0,"0,00","0,00"
574597,Vilantice,155,112,111,5,"0,00",9,"0,00",0,12,0,1,"0,90","8,10",1,"0,90",9,"8,10","10,81",0,0,"0,00",1,0,"0,90",0,"0,00","0,00"
579815,Vítězná,1100,616,611,53,"0,00",22,"0,98",0,36,0,1,"0,16","3,60",0,"0,00",11,"1,80","5,89",6,13,"2,12",10,0,"1,63",3,"0,49","0,00"
579823,Vlčice,402,257,255,41,"0,39",7,"0,78",0,33,1,1,"0,39","2,74",2,"0,78",10,"3,92","12,94",2,2,"0,78",3,0,"1,17",0,"0,00","0,00"
579831,Vlčkovice v Podkrkonoší,311,186,186,16,"0,00",7,"0,53",2,10,0,0,"0,00","3,76",0,"0,00",5,"2,68","5,37",1,1,"0,53",2,0,"1,07",0,"0,00","1,07"
579858,Vrchlabí,9924,6314,6275,822,"0,15",290,"1,32",3,308,10,7,"0,11","4,62",6,"0,09",935,"14,90","4,90",83,46,"0,73",117,0,"1,86",11,"0,17","0,04"
548839,Zábřezí-Řečice,116,93,93,10,"0,00",2,"0,00",0,7,0,0,"0,00","2,15",0,"0,00",3,"3,22","7,52",0,0,"0,00",3,0,"3,22",0,"0,00","0,00"
548847,Zdobín,97,71,71,7,"0,00",6,"1,40",0,2,0,0,"0,00","8,45",0,"0,00",6,"8,45","2,81",1,0,"0,00",1,0,"1,40",0,"0,00","0,00"
579866,Zlatá Olešnice,164,87,87,17,"0,00",1,"1,14",0,11,0,0,"0,00","1,14",0,"0,00",2,"2,29","12,64",1,2,"2,29",3,0,"3,44",0,"0,00","0,00"
579874,Žacléř,2635,1427,1408,206,"0,21",92,"1,06",0,166,3,0,"0,00","6,53",1,"0,07",16,"1,13","11,78",15,20,"1,42",15,0,"1,06",2,"0,14","0,00"
