kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti,COS,Rado. Č.,STAN,Zelený,ROZUMNÍ,SSO,BPI,ODA,EU referendum,TOP 09,DB 2016,SPR,Křesťaní,ČSNS,REALIST,SPORT,DSSS,SPO
542334,Rynholec,749,430,428,35,"0,00",52,6,44,54,0,0,"0,00","12,14",2,"0,46",23,"5,37",0,"0,00","1,40",7,"1,63",1,"0,23",0,"0,00","10,28"
565504,Řeřichy,88,54,54,5,"0,00",6,0,2,5,0,0,"0,00","11,11",0,"0,00",3,"5,55",1,"1,85","0,00",2,"3,70",0,"0,00",0,"0,00","3,70"
542351,Řevničov,1128,702,698,40,"0,00",58,3,73,31,0,0,"0,00","8,30",1,"0,14",56,"8,02",1,"0,14","0,42",13,"1,86",1,"0,14",0,"0,00","10,45"
542369,Senec,201,138,137,27,"0,00",19,0,16,12,0,0,"0,00","13,86",0,"0,00",5,"3,64",1,"0,72","0,00",2,"1,45",0,"0,00",0,"0,00","11,67"
542377,Senomaty,939,606,603,64,"0,16",59,4,48,57,1,2,"0,33","9,78",0,"0,00",52,"8,62",4,"0,66","0,66",8,"1,32",0,"0,00",1,"0,16","7,96"
542385,Skryje,145,97,97,15,"0,00",6,2,16,7,0,0,"0,00","6,18",0,"0,00",6,"6,18",2,"2,06","2,06",0,"0,00",0,"0,00",0,"0,00","16,49"
542415,Slabce,600,358,356,31,"0,00",27,1,26,52,0,0,"0,00","7,58",1,"0,28",23,"6,46",2,"0,56","0,28",9,"2,52",0,"0,00",0,"0,00","7,30"
565407,Smilovice,46,27,27,2,"0,00",6,0,1,2,0,0,"0,00","22,22",0,"0,00",6,"22,22",0,"0,00","0,00",0,"0,00",0,"0,00",0,"0,00","3,70"
542431,Srbeč,268,121,121,4,"0,00",21,0,2,14,0,0,"0,00","17,35",0,"0,00",6,"4,95",2,"1,65","0,00",2,"1,65",0,"0,00",0,"0,00","1,65"
542458,Svojetín,259,140,140,7,"0,00",14,5,21,11,0,0,"0,00","10,00",0,"0,00",12,"8,57",0,"0,00","3,57",1,"0,71",0,"0,00",0,"0,00","15,00"
542466,Sýkořice,442,291,290,24,"0,00",15,1,40,33,0,0,"0,00","5,17",0,"0,00",16,"5,51",2,"0,68","0,34",16,"5,51",0,"0,00",1,"0,34","13,79"
542474,Šanov,413,250,250,21,"0,80",26,2,22,32,2,0,"0,00","10,40",0,"0,00",15,"6,00",3,"1,20","0,80",3,"1,20",0,"0,00",1,"0,40","8,80"
